"","x"
"1",4334
"2",4527
"3",4576
"4",4721
"5",4914
"6",4994
"7",5092
"8",5156
"9",5254
"10",5318
"11",5416
"12",5480
"13",5578
"14",5642
"15",5740
"16",5804
"17",5902
"18",5966
"19",6031
"20",6064
"21",6128
"22",6193
"23",6258
"24",6290
"25",6355
"26",6388
"27",6481
"28",6603
"29",6664
"30",6786
"31",6969
"32",7030
"33",7091
"34",7152
"35",7332
"36",7390
"37",7448
"38",7680
"39",7738
"40",7912
"41",7970
"42",8086
"43",8260
"44",8550
"45",8667
"46",8725
"47",8841
"48",8957
"49",9015
"50",9073
"51",9131
"52",9189
"53",9247
"54",9363
"55",9421
"56",9479
"57",9537
"58",9653
"59",9711
"60",9769
"61",9827
"62",9885
"63",9943
"64",10036
"65",10071
"66",10105
"67",10175
"68",10210
"69",10245
"70",10279
"71",10314
"72",10349
"73",10384
"74",10419
"75",10453
"76",10488
"77",10558
"78",10593
"79",10627
"80",10662
"81",10732
"82",10767
"83",10801
"84",10836
"85",10871
"86",10906
"87",10941
"88",10975
"89",11010
"90",11058
"91",11072
"92",11086
"93",11112
"94",11126
"95",11140
"96",11242
"97",11286
"98",11375
"99",11419
"100",11463
"101",11508
"102",11552
"103",11640
"104",11685
"105",11729
"106",11773
"107",11818
"108",11862
"109",11906
"110",11951
"111",11995
"112",12039
"113",12084
"114",12128
"115",12172
"116",12217
"117",12261
"118",12305
"119",12350
"120",12438
"121",12482
"122",12527
"123",12571
"124",12615
"125",12660
"126",12748
"127",12793
"128",12837
"129",12881
"130",12926
"131",13059
"132",13103
"133",13147
"134",13192
"135",13517
"136",13620
"137",13724
"138",13827
"139",13991
"140",14050
"141",14110
"142",14170
"143",14229
"144",14408
"145",14468
"146",14528
"147",14587
"148",14647
"149",14707
"150",15028
"151",15121
"152",15307
"153",15400
"154",15493
"155",15679
"156",15772
"157",15865
"158",16050
"159",16236
"160",16329
"161",16422
"162",16453
"163",16484
"164",16515
"165",16546
"166",16578
"167",16609
"168",16640
"169",16764
"170",16920
"171",17076
"172",17230
"173",17350
"174",17411
"175",17471
"176",17561
"177",17667
"178",17742
"179",17856
"180",17932
"181",18045
"182",18121
"183",18197
"184",18272
"185",18348
"186",18462
"187",18537
"188",18651
"189",18727
"190",18840
"191",18916
"192",18992
"193",19068
"194",19181
"195",19257
"196",19333
"197",19408
"198",19484
"199",19598
"200",19673
"201",19800
"202",19840
"203",19890
"204",19940
"205",20010
"206",20130
"207",20170
"208",20220
"209",20270
"210",20340
"211",20380
"212",20410
"213",20560
"214",20650
"215",20740
"216",20830
